contract_id,brand,model,year,power,fuel_type,current_value,color,usage,previous_claims
CTR_000143,Volkswagen,Polo,2021.0,197hp,Diesel,12715.76 euros,,Personal,1.0
CTR_000147,Volkswagen,Tiguan,2010.0,179 HP,Hybrid,5548.21€,,Personal,0.0
CTR_000154,Volkswagen,Polo,2023.0,,Hybrid,$21866.01,Blue,Mixed,0.0
CTR_000158,Renault,Clio,2022.0,,Gasoline,11572,Red,Professional,2.0
CTR_000162,Renault,Clio,2013.0,,Hybrid,4431.69€,Red,Mixed,1.0
CTR_000163,Peugeot,308,2014.0,116 CV,Diesel,4712.68€,Blue,Personal,2.0
CTR_000168,Renault,Captur,2022.0,90,Hybrid,9564.52€,,Personal,3.0
CTR_000173,Peugeot,3008,2017.0,140 CV,Gasoline,5274.37€,,Professional,3.0
CTR_000175,Peugeot,3008,2017.0,,Gasoline,5294.70€,Blue,Professional,1.0
CTR_000176,Peugeot,308,2023.0,152hp,Gasoline,10645.37€,Red,Professional,
CTR_000177,Peugeot,3008,2010.0,110,Electric,5463.42€,Black,Personal,2.0
CTR_000179,Peugeot,3008,2024.0,,Diesel,13377.06€,Blue,Mixed,1.0
CTR_000180,Peugeot,308,2015.0,124hp,Diesel,5602.75€,White,Mixed,1.0
CTR_000181,Peugeot,308,2021.0,189 HP,Diesel,10878.01 euros,White,Mixed,3.0
CTR_000184,Peugeot,208,2021.0,183hp,Gasoline,10740.39€,White,Professional,3.0
CTR_000185,Peugeot,308,2021.0,168hp,Electric,9247.15€,,Personal,1.0
CTR_000186,Renault,Captur,2020.0,,Hybrid,6838.26€,Gray,Professional,1.0
CTR_000187,Peugeot,208,2010.0,105 kW,Electric,4870.24€,,Personal,3.0
CTR_000188,Peugeot,208,2012.0,195 CV,Hybrid,5054.47€,Blue,Professional,1.0
CTR_000190,Volkswagen,Golf,2020.0,71 kW,Electric,9359.67€,,Professional,0.0
CTR_000191,Volkswagen,Golf,2018.0,141 CV,Hybrid,6566.87 EUR,Blue,Personal,2.0
CTR_000192,Peugeot,308,2020.0,137 CV,Hybrid,7812.68€,Blue,Personal,2.0
CTR_000193,Peugeot,308,2018.0,,Diesel,4146.39€,Blue,Mixed,3.0
CTR_000195,Renault,Megane,2023.0,186 HP,Electric,$16247.23,Blue,Personal,1.0
CTR_000197,Renault,Captur,2020.0,76 kW,Gasoline,7233.71 euros,Blue,Mixed,2.0
CTR_000200,Renault,Clio,2011.0,,Diesel,€5893.98,White,Professional,2.0
CTR_000201,Renault,Megane,2019.0,180,Gasoline,5354.24€,,Professional,0.0
CTR_000202,Peugeot,3008,2013.0,,Gasoline,4449.52€,,Personal,0.0
CTR_000203,Volkswagen,Polo,2012.0,142,Hybrid,5473,Black,Professional,0.0
CTR_000205,Peugeot,3008,2019.0,96hp,Gasoline,5837.99€,,Personal,2.0
CTR_000209,Volkswagen,Golf,2011.0,88 kW,Electric,5762.92€,Red,Professional,1.0
CTR_000213,Renault,Clio,2018.0,113 CV,Gasoline,4928.98€,Black,Professional,0.0
CTR_000215,BMW,Serie1,2017.0,175 CV,Hybrid,5237.88€,White,Professional,2.0
CTR_000219,Renault,Megane,2019.0,127 kW,Hybrid,6645.36€,,Professional,1.0
CTR_000220,Volkswagen,Polo,2015.0,,Electric,5660.75€,White,Professional,1.0
CTR_000222,Peugeot,208,2020.0,94 kW,Electric,6881.47 EUR,,Mixed,2.0
CTR_000225,Volkswagen,Golf,2019.0,178 HP,Diesel,7964.34€,Red,Professional,3.0
CTR_000226,Renault,Clio,,150 HP,Gasoline,€4733.83,White,Mixed,3.0
CTR_000227,BMW,X1,2019.0,100,Gasoline,11803.37€,White,Mixed,1.0
CTR_000231,Volkswagen,Tiguan,2019.0,,Gasoline,9130.88€,Gray,Mixed,3.0
CTR_000232,Renault,Megane,2016.0,133 HP,Diesel,$6450.02,,Personal,
CTR_000234,BMW,X1,2024.0,102,Electric,38343.66€,Red,Professional,
CTR_000236,Renault,Megane,2021.0,108 HP,Diesel,10713.42€,Red,Personal,0.0
CTR_000238,Peugeot,308,2018.0,178 HP,Hybrid,4090,Blue,Personal,2.0
CTR_000239,Mercedes,GLA,2018.0,95 HP,Gasoline,€10445.16,,Professional,1.0
CTR_000240,Peugeot,208,2022.0,156,Electric,9722.49€,Gray,Personal,2.0
CTR_000241,Mercedes,ClasseA,2020.0,,Diesel,23146,Black,Mixed,1.0
CTR_000248,Renault,Captur,2022.0,,Electric,12301.60€,White,Professional,2.0
CTR_000250,Peugeot,208,2012.0,,Hybrid,4894.24€,Blue,Personal,0.0
CTR_000251,Peugeot,308,2023.0,157 CV,Electric,14938.20€,Gray,Mixed,
CTR_000252,Peugeot,308,2011.0,137 kW,Gasoline,5695.24€,Black,Personal,3.0
CTR_000255,Mercedes,ClasseA,2021.0,142 kW,Hybrid,21910.43€,White,Personal,1.0
CTR_000257,Volkswagen,Golf,2023.0,179 CV,Electric,16733.98€,Black,Professional,2.0
CTR_000258,Peugeot,208,2020.0,99 kW,Gasoline,6826.65€,Black,Personal,0.0
CTR_000261,Renault,Megane,2014.0,163,Hybrid,5340.10€,Gray,Mixed,2.0
CTR_000264,Peugeot,3008,2024.0,129hp,Hybrid,14323.99 euros,Gray,Professional,2.0
CTR_000265,Renault,Megane,2021.0,150 CV,Electric,9561.30€,White,Personal,2.0
CTR_000271,Renault,Captur,2019.0,182 CV,Gasoline,6441.96€,Blue,Professional,
CTR_000272,Peugeot,208,,132hp,Diesel,4825.50€,White,Professional,3.0
CTR_000277,Mercedes,GLA,2018.0,166,Hybrid,13314.22€,Red,Mixed,2.0
CTR_000282,Peugeot,308,,78 kW,Hybrid,$5298.95,Black,Mixed,2.0
CTR_000283,Volkswagen,Polo,2023.0,199hp,Diesel,15584.69€,,Mixed,1.0
CTR_000285,Renault,Megane,2018.0,108 kW,Diesel,5058.55€,Gray,Personal,1.0
CTR_000288,Mercedes,ClasseA,2020.0,113 CV,Gasoline,19960.00€,White,Mixed,2.0
CTR_000289,Renault,Captur,2018.0,,Hybrid,€4250.00,White,Personal,3.0
CTR_000290,Volkswagen,Tiguan,2015.0,156 HP,Gasoline,4046.38€,,Mixed,2.0
CTR_000291,Volkswagen,Polo,2018.0,142 CV,Diesel,$6761.23,,Professional,
CTR_000292,Peugeot,308,2020.0,138hp,Electric,9150.52€,Gray,Personal,3.0
CTR_000295,Volkswagen,Tiguan,2015.0,,Hybrid,4880.95€,,Mixed,2.0
CTR_000297,Volkswagen,Polo,2019.0,161hp,Electric,6609.30€,White,Mixed,
CTR_000298,Peugeot,3008,2020.0,139,Diesel,8550.81€,White,Professional,2.0
CTR_000300,BMW,X1,2022.0,95,Electric,$33556.21,White,Professional,1.0
CTR_000301,Peugeot,208,2024.0,193,Gasoline,$15336.11,Blue,Personal,0.0
CTR_000302,Renault,Captur,2022.0,109hp,Diesel,€9456.90,Black,Personal,2.0
CTR_000303,Volkswagen,Polo,2019.0,91 kW,Hybrid,7478.58€,Black,Professional,
CTR_000306,Renault,Captur,2011.0,172,Diesel,5816.63€,,Personal,3.0
CTR_000307,Peugeot,308,2020.0,148 HP,Hybrid,7544.04€,Red,Personal,3.0
CTR_000311,Renault,Captur,2020.0,,Diesel,7728.91€,Blue,Mixed,
CTR_000312,Peugeot,308,2018.0,141 kW,Gasoline,4148.71€,Black,Personal,0.0
CTR_000313,Renault,Clio,2024.0,,Diesel,12776,Gray,Personal,1.0
CTR_000314,Renault,Captur,2019.0,,Electric,4990.78€,Red,Professional,3.0
CTR_000316,Volkswagen,Tiguan,2022.0,112 CV,Hybrid,12540.76€,Gray,Mixed,3.0
CTR_000317,Volkswagen,Golf,2012.0,,Hybrid,4241.22€,Black,Professional,1.0
CTR_000325,Volkswagen,Golf,2017.0,158,Diesel,4833.21€,,Mixed,0.0
CTR_000327,Peugeot,208,2024.0,,Gasoline,15348.03€,,Professional,1.0
CTR_000328,Volkswagen,Golf,2021.0,179 HP,Electric,11837.02€,,Professional,3.0
CTR_000338,Volkswagen,Tiguan,,166hp,Gasoline,4839.00€,,Personal,3.0
CTR_000341,Peugeot,3008,2019.0,165hp,Gasoline,6622.78€,,Personal,0.0
CTR_000342,Renault,Clio,2023.0,170 HP,Hybrid,11074.14 EUR,Gray,Professional,3.0
CTR_000343,Volkswagen,Polo,2018.0,97,Gasoline,4556.43€,Black,Personal,3.0
CTR_000347,Peugeot,208,2021.0,93 CV,Diesel,8666.84€,Blue,Personal,1.0
CTR_000351,Renault,Clio,2019.0,126,Hybrid,6543.94€,Black,Professional,2.0
CTR_000352,Renault,Megane,2024.0,163 CV,Hybrid,11300,Red,Mixed,
CTR_000353,Renault,Clio,2020.0,,Hybrid,6199.47€,,Professional,0.0
CTR_000359,Volkswagen,Tiguan,2018.0,,Hybrid,4625.78€,White,Professional,1.0
CTR_000361,Renault,Megane,2020.0,97 HP,Gasoline,6921.61€,White,Mixed,2.0
CTR_000364,Peugeot,308,2018.0,70 kW,Electric,5295.50€,Black,Personal,
CTR_000366,Peugeot,208,2023.0,,Gasoline,15366.62€,,Professional,3.0
CTR_000367,Peugeot,208,2018.0,197hp,Diesel,5588.13€,Blue,Professional,1.0
CTR_000372,Volkswagen,Polo,2018.0,149,Hybrid,5041.58€,Black,Mixed,2.0
CTR_000380,Volkswagen,Golf,2016.0,134 CV,Hybrid,5269.68 euros,Blue,Personal,0.0
CTR_000381,Peugeot,208,2021.0,71 kW,Gasoline,10229.16€,Blue,Professional,
CTR_000382,Peugeot,3008,2022.0,91,Gasoline,9532.74€,Gray,Mixed,2.0
CTR_000383,Peugeot,308,2019.0,171 HP,Hybrid,5825.12€,,Personal,1.0
CTR_000384,Volkswagen,Polo,2022.0,153hp,Gasoline,14052,Red,Professional,0.0
CTR_000387,Renault,Clio,2023.0,176hp,Gasoline,10630.26 euros,Black,Mixed,
CTR_000388,Renault,Clio,2022.0,,Electric,$9637.88,White,Personal,1.0
CTR_000390,Mercedes,ClasseA,2020.0,149,Gasoline,16865.77€,Red,Professional,
CTR_000391,Peugeot,208,2018.0,,Gasoline,5717,Gray,Professional,1.0
CTR_000392,Peugeot,308,2024.0,87 kW,Hybrid,13983,Blue,Mixed,1.0
CTR_000394,Volkswagen,Tiguan,2024.0,158hp,Electric,19944.59€,Black,Mixed,
CTR_000395,Peugeot,3008,2020.0,146,Electric,7149.89€,Red,Professional,
CTR_000396,Peugeot,308,2023.0,136,Hybrid,11435.72 EUR,Black,Personal,
CTR_000398,Volkswagen,Golf,2024.0,110 kW,Diesel,18090.40€,Gray,Personal,1.0
CTR_000405,Volkswagen,Tiguan,2019.0,102 CV,Electric,6943.96€,,Personal,2.0
CTR_000406,Volkswagen,Tiguan,2021.0,185 HP,Gasoline,14120.33€,Black,Mixed,3.0
CTR_000416,Peugeot,208,2024.0,155,Diesel,$19189.59,Blue,Mixed,2.0
CTR_000417,Peugeot,308,2023.0,,Diesel,12854.17€,White,Mixed,2.0
CTR_000423,Peugeot,208,2019.0,94 HP,Electric,6775.02€,Black,Mixed,0.0
CTR_000425,Peugeot,3008,2024.0,95hp,Diesel,14554.72€,Black,Professional,0.0
CTR_000426,Peugeot,208,2019.0,149 HP,Hybrid,5872.28€,Blue,Mixed,1.0
CTR_000429,Volkswagen,Tiguan,2011.0,168 HP,Gasoline,€4970.23,,Professional,1.0
CTR_000431,Mercedes,GLA,,107 CV,Electric,39708.93€,Red,Professional,3.0
CTR_000432,Renault,Megane,2022.0,,Hybrid,12497.00€,Blue,Mixed,3.0
CTR_000435,Volkswagen,Polo,,162,Gasoline,5488.89€,Black,Mixed,1.0
CTR_000442,Peugeot,208,2021.0,200,Diesel,11091.62€,Black,Professional,2.0
CTR_000451,Peugeot,3008,2018.0,,Hybrid,5285.45€,,Personal,2.0
CTR_000452,Renault,Captur,2022.0,101 HP,Gasoline,12083.88€,Blue,Professional,0.0
CTR_000454,Mercedes,ClasseC,2019.0,,Gasoline,16363.67€,Red,Mixed,
CTR_000455,Volkswagen,Golf,2013.0,122 HP,Gasoline,5545,Black,Personal,2.0
CTR_000456,Renault,Captur,2018.0,151 HP,Electric,5410.50€,Red,Personal,3.0
CTR_000459,Mercedes,ClasseA,2021.0,126hp,Diesel,28152.44 EUR,Blue,Professional,1.0
CTR_000460,Mercedes,ClasseA,2021.0,158 CV,Gasoline,22880.02€,,Personal,1.0
CTR_000462,Peugeot,208,2023.0,165 HP,Hybrid,11371.81€,Gray,Mixed,2.0
CTR_000463,Renault,Captur,2020.0,114 CV,Diesel,7725.62€,White,Mixed,3.0
CTR_000465,Volkswagen,Tiguan,2019.0,142 kW,Hybrid,7945.24€,Black,Personal,1.0
CTR_000466,Peugeot,208,2018.0,,Electric,5529.32€,Red,Personal,0.0
CTR_000469,Volkswagen,Polo,2015.0,90hp,Electric,4293.01€,Blue,Personal,
CTR_000471,Peugeot,308,2019.0,130 HP,Hybrid,7074.46€,Red,Professional,3.0
CTR_000477,Volkswagen,Tiguan,2020.0,,Diesel,11248.79€,Red,Professional,0.0
CTR_000478,Renault,Megane,2022.0,188,Diesel,8609.84€,Red,Professional,0.0
CTR_000479,Peugeot,208,2023.0,,Electric,13604.10€,White,Personal,3.0
CTR_000483,Renault,Clio,2011.0,160 CV,Gasoline,4625.24€,,Mixed,0.0
CTR_000484,Renault,Clio,2018.0,167 HP,Hybrid,4549.35€,Red,Professional,
CTR_000485,Renault,Captur,2015.0,76 kW,Gasoline,5804.33 euros,Blue,Mixed,0.0
CTR_000486,Volkswagen,Tiguan,2024.0,106,Gasoline,22687.59€,Blue,Personal,0.0
CTR_000488,Volkswagen,Polo,2023.0,182,Electric,14147.26€,Blue,Professional,3.0
CTR_000493,Peugeot,3008,2018.0,,Diesel,€4363.34,Red,Professional,2.0
CTR_000496,Volkswagen,Golf,2014.0,138 HP,Electric,€5439.06,,Professional,
CTR_000498,Peugeot,308,2018.0,162 HP,Hybrid,5696.38€,Gray,Mixed,1.0
CTR_000502,Volkswagen,Polo,2012.0,137hp,Diesel,$5978.73,Black,Professional,2.0
CTR_000505,Peugeot,208,2024.0,175hp,Hybrid,15151.82 euros,White,Professional,1.0
CTR_000507,Volkswagen,Golf,2024.0,194 CV,Gasoline,23876.62€,Black,Professional,1.0
CTR_000508,Renault,Megane,2019.0,137 CV,Gasoline,6265.91€,,Professional,1.0
CTR_000510,Renault,Captur,2018.0,121 HP,Hybrid,4935.86€,White,Mixed,1.0
CTR_000513,Peugeot,3008,2021.0,198,Electric,9920.55€,Gray,Professional,0.0
CTR_000514,Peugeot,208,2022.0,,Electric,9324.37€,,Personal,2.0
CTR_000519,Renault,Megane,2019.0,160 HP,Electric,6641.01 EUR,Red,Personal,1.0
CTR_000520,BMW,Serie3,2022.0,,Electric,25139.54€,Gray,Personal,3.0
CTR_000523,Mercedes,ClasseA,,169,Hybrid,11923.61 euros,,Mixed,1.0
CTR_000525,Peugeot,308,2017.0,158 CV,Hybrid,€5333.90,Blue,Personal,3.0
CTR_000527,Renault,Megane,2023.0,,Hybrid,$11150.27,White,Mixed,2.0
CTR_000531,Volkswagen,Golf,2016.0,114hp,Electric,4531.71 euros,Black,Professional,0.0
CTR_000538,Peugeot,308,2019.0,,Diesel,6374.86€,,Professional,1.0
CTR_000541,Renault,Captur,2019.0,114,Hybrid,6523.23€,Blue,Personal,2.0
CTR_000543,Renault,Captur,2021.0,,Hybrid,9958.62€,Red,Professional,
CTR_000545,Peugeot,3008,2011.0,66 kW,Hybrid,5160.28€,White,Mixed,1.0
CTR_000547,Peugeot,208,2019.0,134 CV,Hybrid,5357.96 EUR,Blue,Mixed,0.0
CTR_000548,Volkswagen,Tiguan,2022.0,105hp,Hybrid,17928.96€,Gray,Personal,0.0
CTR_000550,Renault,Captur,2022.0,146hp,Diesel,10230.01 EUR,White,Professional,3.0
CTR_000552,Volkswagen,Polo,2023.0,93 kW,Hybrid,15135.33€,Red,Professional,0.0
CTR_000555,Renault,Megane,2022.0,,Diesel,8604.10€,Gray,Personal,0.0
CTR_000560,Volkswagen,Golf,2020.0,195hp,Hybrid,12272.63€,Blue,Mixed,0.0
CTR_000563,Volkswagen,Polo,2023.0,,Electric,19556.52€,White,Personal,
CTR_000568,Renault,Captur,2018.0,101 HP,Gasoline,4432.77€,Red,Professional,1.0
CTR_000570,Peugeot,3008,2023.0,,Hybrid,11308.58€,Red,Mixed,
CTR_000573,Volkswagen,Polo,2018.0,147 kW,Electric,6629.23€,Black,Professional,2.0
CTR_000576,Volkswagen,Golf,2023.0,94,Gasoline,15775.17€,Black,Mixed,0.0
CTR_000579,Peugeot,308,2018.0,109 kW,Gasoline,4923.87€,Blue,Personal,1.0
CTR_000585,Renault,Captur,2020.0,117hp,Diesel,7602.81€,White,Personal,
CTR_000589,Volkswagen,Tiguan,2023.0,123 CV,Gasoline,14519.16€,Gray,Professional,3.0
CTR_000590,Volkswagen,Golf,2021.0,178,Gasoline,12003.50 euros,Black,Mixed,3.0
CTR_000595,Renault,Captur,2021.0,,Diesel,10550.01€,White,Mixed,3.0
CTR_000596,Volkswagen,Polo,2020.0,,Gasoline,11233.45 EUR,Gray,Personal,1.0
CTR_000597,Mercedes,GLA,2019.0,185 CV,Gasoline,15153.83€,White,Personal,
CTR_000598,Mercedes,GLA,2016.0,113 CV,Gasoline,5583.46€,,Mixed,1.0
CTR_000600,Volkswagen,Polo,2014.0,134hp,Hybrid,5674.37€,Blue,Personal,0.0
CTR_000608,Renault,Megane,2021.0,181,Gasoline,7711.98€,Gray,Personal,0.0
CTR_000610,Mercedes,ClasseC,2022.0,192,Electric,31452.99€,White,Personal,1.0
CTR_000613,Mercedes,ClasseC,2023.0,122 kW,Electric,€33323.90,Red,Professional,2.0
CTR_000614,Peugeot,308,2018.0,107 CV,Electric,5013.73€,Blue,Professional,1.0
CTR_000615,Renault,Clio,2013.0,94 CV,Electric,$5431.94,Black,Mixed,3.0
CTR_000616,Volkswagen,Golf,2019.0,193 HP,Electric,8012.24€,,Mixed,1.0
CTR_000624,Volkswagen,Polo,2023.0,169,Diesel,17754.51€,White,Professional,0.0
CTR_000625,BMW,X1,2020.0,191hp,Electric,15064.19€,Gray,Mixed,0.0
CTR_000630,Peugeot,208,,115 kW,Diesel,8362.35 EUR,White,Professional,1.0
CTR_000632,Renault,Megane,2021.0,131 HP,Electric,9197.25€,Red,Personal,1.0
CTR_000635,Volkswagen,Polo,2022.0,199 CV,Electric,17851.09€,Gray,Personal,0.0
CTR_000637,Renault,Captur,2021.0,89 kW,Gasoline,9843.51€,Black,Personal,2.0
CTR_000639,Renault,Megane,2022.0,,Electric,9527.67€,White,Professional,2.0
CTR_000643,Volkswagen,Golf,2018.0,,Diesel,5290,Black,Professional,0.0
CTR_000645,Renault,Clio,2022.0,102hp,Electric,9939.38€,White,Professional,1.0
CTR_000646,Volkswagen,Polo,2020.0,127 kW,Hybrid,11521.19€,White,Professional,2.0
CTR_000649,Volkswagen,Tiguan,2014.0,102 HP,Electric,5944.39€,Red,Professional,0.0
CTR_000650,Peugeot,308,2017.0,181,Hybrid,4710.81€,Red,Personal,1.0
CTR_000651,Peugeot,308,2018.0,115 CV,Hybrid,4029.52€,Blue,Professional,1.0
CTR_000652,Peugeot,208,2022.0,111hp,Electric,13392.18€,Gray,Professional,3.0
CTR_000654,Peugeot,308,2022.0,,Hybrid,12554.72€,Gray,Personal,1.0
CTR_000657,BMW,Serie3,2021.0,131 HP,Hybrid,25395.83€,White,Professional,2.0
CTR_000658,Peugeot,208,2019.0,184 CV,Gasoline,5300.83€,,Mixed,3.0
CTR_000664,Renault,Captur,2011.0,130 kW,Hybrid,5291,,Mixed,3.0
CTR_000670,Renault,Captur,2020.0,171 CV,Electric,6501.65€,Black,Personal,3.0
CTR_000673,Volkswagen,Tiguan,2023.0,,Hybrid,14161,Red,Professional,2.0
CTR_000674,Volkswagen,Polo,2021.0,,Gasoline,11044.18€,Gray,Mixed,3.0
CTR_000678,Renault,Captur,2013.0,82 kW,Diesel,5845.61 euros,Blue,Personal,
CTR_000679,Volkswagen,Golf,,143 kW,Electric,9215.73€,,Professional,0.0
CTR_000686,Volkswagen,Tiguan,2024.0,92hp,Gasoline,20681.14€,Black,Mixed,0.0
CTR_000690,Peugeot,308,2022.0,73 kW,Gasoline,13534.14€,Gray,Personal,1.0
CTR_000694,Peugeot,308,2024.0,179 HP,Hybrid,12454.12€,Gray,Mixed,1.0
CTR_000697,Renault,Captur,2021.0,161 CV,Hybrid,€10063.65,Red,Professional,0.0
CTR_000698,Renault,Megane,2018.0,189,Gasoline,5195.11€,Red,Personal,
CTR_000705,Renault,Clio,2021.0,,Gasoline,8327.06€,Gray,Personal,2.0
CTR_000708,Volkswagen,Tiguan,,,Gasoline,5295.93€,White,Professional,2.0
CTR_000709,Peugeot,308,2021.0,188hp,Diesel,$8562.82,White,Personal,1.0
CTR_000715,Volkswagen,Polo,2020.0,,Hybrid,9384.27€,Blue,Mixed,1.0
CTR_000716,Volkswagen,Golf,2021.0,105 kW,Diesel,12407.81€,White,Mixed,3.0
CTR_000717,Mercedes,ClasseA,2022.0,155 CV,Hybrid,33037,,Mixed,0.0
CTR_000718,Renault,Clio,2020.0,78 kW,Diesel,6624.15€,Gray,Professional,3.0
CTR_000723,Volkswagen,Polo,,92 CV,Hybrid,€5160.62,White,Personal,1.0
CTR_000724,Renault,Clio,2022.0,,Electric,€11626.06,Black,Professional,0.0
CTR_000725,Renault,Clio,2018.0,189 CV,Hybrid,5397.06€,,Professional,0.0
CTR_000727,Volkswagen,Polo,2022.0,173 HP,Diesel,$17323.87,Red,Personal,2.0
CTR_000734,Peugeot,308,2018.0,116,Diesel,5160.38 euros,Black,Personal,2.0
CTR_000737,Volkswagen,Tiguan,2019.0,175hp,Gasoline,8707.87€,White,Personal,1.0
CTR_000738,Volkswagen,Tiguan,2020.0,111 HP,Electric,9715.73€,Red,Professional,2.0
CTR_000741,Renault,Megane,2013.0,79 kW,Gasoline,4900.43€,White,Mixed,1.0
CTR_000744,Volkswagen,Golf,2020.0,163hp,Diesel,12339.25€,White,Mixed,2.0
CTR_000745,Mercedes,GLA,2019.0,108hp,Diesel,17079.05€,Red,Professional,3.0
CTR_000750,Volkswagen,Golf,2012.0,102,Electric,5039.78€,Blue,Professional,0.0
CTR_000751,Volkswagen,Tiguan,2024.0,98 kW,Gasoline,20626.50€,Gray,Mixed,3.0
CTR_000753,Volkswagen,Tiguan,2018.0,115hp,Gasoline,4713.92€,Black,Professional,0.0
CTR_000754,Peugeot,308,2018.0,116 CV,Electric,5183.98 euros,Blue,Professional,2.0
CTR_000758,Volkswagen,Tiguan,2019.0,119 HP,Diesel,$9984.48,White,Mixed,2.0
CTR_000768,Peugeot,208,2018.0,136 HP,Hybrid,5047.23€,White,Mixed,3.0
CTR_000770,BMW,Serie3,2022.0,199hp,Hybrid,23162.19€,White,Professional,1.0
CTR_000771,Peugeot,3008,2010.0,124 CV,Electric,4896.42 EUR,Red,Personal,2.0
CTR_000775,Peugeot,3008,2021.0,,Electric,8747.61€,Black,Personal,1.0
